,Symbol,Name,Exchange,MarketCap
45,ATVI,"Activision Blizzard, Inc",NASDAQ,40040000000.0
56,ADBE,Adobe Inc.,NASDAQ,142730000000.0
61,AMD,"Advanced Micro Devices, Inc.",NASDAQ,46330000000.0
100,AKAM,"Akamai Technologies, Inc.",NASDAQ,13330000000.0
118,ALXN,"Alexion Pharmaceuticals, Inc.",NASDAQ,17790000000.0
120,ALGN,"Align Technology, Inc.",NASDAQ,11410000000.0
131,LNT,Alliant Energy Corporation,NASDAQ,9970000000.0
138,ALNY,"Alnylam Pharmaceuticals, Inc.",NASDAQ,11690000000.0
140,GOOG,Alphabet Inc.,NASDAQ,736990000000.0
141,GOOGL,Alphabet Inc.,NASDAQ,734170000000.0
155,AMZN,"Amazon.com, Inc.",NASDAQ,919000000000.0
167,AMOV,"America Movil, S.A.B. de C.V.",NASDAQ,39470000000.0
186,AMGN,Amgen Inc.,NASDAQ,111030000000.0
193,ADI,"Analog Devices, Inc.",NASDAQ,31330000000.0
204,ANSS,"ANSYS, Inc.",NASDAQ,18310000000.0
216,AAPL,Apple Inc.,NASDAQ,1003040000000.0
219,AMAT,"Applied Materials, Inc.",NASDAQ,34890000000.0
236,ACGL,Arch Capital Group Ltd.,NASDAQ,10560000000.0
261,ASML,ASML Holding N.V.,NASDAQ,91990000000.0
285,TEAM,Atlassian Corporation Plc,NASDAQ,30900000000.0
299,ADSK,"Autodesk, Inc.",NASDAQ,32570000000.0
301,ADP,"Automatic Data Processing, Inc.",NASDAQ,48380000000.0
330,BIDU,"Baidu, Inc.",NASDAQ,30660000000.0
358,GOLD,Barrick Gold Corporation,NASDAQ,28230000000.0
368,BGNE,"BeiGene, Ltd.",NASDAQ,9730000000.0
393,BIIB,Biogen Inc.,NASDAQ,48520000000.0
399,BMRN,BioMarin Pharmaceutical Inc.,NASDAQ,13140000000.0
403,BNTX,BioNTech SE,NASDAQ,10550000000.0
430,BKNG,Booking Holdings Inc.,NASDAQ,48350000000.0
447,AVGO,Broadcom Inc.,NASDAQ,76850000000.0
471,CDNS,"Cadence Design Systems, Inc.",NASDAQ,15430000000.0
533,CBOE,"Cboe Global Markets, Inc.",NASDAQ,8910000000.0
536,CDW,CDW Corporation,NASDAQ,11360000000.0
564,CERN,Cerner Corporation,NASDAQ,17640000000.0
574,CHTR,"Charter Communications, Inc.",NASDAQ,78050000000.0
575,CHKP,Check Point Software Technologies Ltd.,NASDAQ,13660000000.0
617,CINF,Cincinnati Financial Corporation,NASDAQ,12210000000.0
619,CTAS,Cintas Corporation,NASDAQ,18170000000.0
621,CSCO,"Cisco Systems, Inc.",NASDAQ,150980000000.0
